Lines,Lon,VehicleNumber,Time,Lat,Brigade
228,20.905293,1051,2024-02-20 17:42:43,52.203333,1
228,20.9804467,1052,2024-02-20 17:42:47,52.1890433,3
228,20.936488,1054,2024-02-20 17:42:35,52.201638,2
208,20.962556,1055,2024-02-20 17:42:51,52.21571,2
208,20.9622067,1057,2024-02-20 17:42:40,52.21608,591
207,20.8705483,1059,2024-02-20 17:42:49,52.1833183,3
108,21.051537,1060,2024-02-20 17:42:52,52.178967,2
163,21.086733,1061,2024-02-20 17:42:53,52.160347,03
107,21.068773,1062,2024-02-20 17:42:50,52.191917,6
108,21.081629,1063,2024-02-20 17:42:54,52.186474,3
200,21.096977,1064,2024-02-20 17:42:52,52.141766,1
108,21.087528,1065,2024-02-20 17:42:54,52.195206,399
108,21.035355,1066,2024-02-20 17:42:53,52.222992,4
192,21.044945,1068,2024-02-20 17:42:53,52.149372,3
208,20.9481172,1069,2024-02-20 17:42:52,52.2090322,06
163,21.064175,1070,2024-02-20 17:42:55,52.18639,02
107,21.039692,1071,2024-02-20 17:42:52,52.206726,7
107,21.030413,1072,2024-02-20 17:42:55,52.22443,3
107,21.004047,1073,2024-02-20 17:42:55,52.241554,9
339,21.068285,1074,2024-02-20 17:42:54,52.129375,01
200,21.051455,1075,2024-02-20 17:42:53,52.17342,2
192,21.073093,1076,2024-02-20 17:42:54,52.135967,4
164,21.1387969,1077,2024-02-20 17:42:54,52.1456736,05
208,20.96455,1078,2024-02-20 17:42:52,52.201679,03
163,21.053759,1079,2024-02-20 17:42:46,52.18034,01
170,21.0826753,1101,2024-02-20 17:42:47,52.275821,06
170,21.0807453,1102,2024-02-20 17:42:53,52.2775166,2
169,21.0419966,1106,2024-02-20 17:42:53,52.2710751,5
117,21.0561553,1109,2024-02-20 17:42:52,52.2311116,06
169,21.0419613,1110,2024-02-20 17:42:51,52.3001188,4
338,21.0946366,1112,2024-02-20 17:42:52,52.2604605,04
166,21.0471878,1115,2024-02-20 17:42:51,52.263662,09
106,20.9651765,1118,2024-02-20 17:42:47,52.2475985,09
118,21.019739,1119,2024-02-20 17:42:50,52.245808,2
L27,21.1672233,11201,2024-02-20 17:42:30,52.3599363,1
L27,21.150315,11202,2024-02-20 17:42:43,52.309786,2
263,21.076252,1200,2024-02-20 17:42:53,52.156483,5
251,21.075983,1201,2024-02-20 17:42:50,52.168072,63
106,21.019625,1202,2024-02-20 17:42:55,52.237255,3
106,20.965406,1203,2024-02-20 17:42:52,52.237873,5
106,21.000675,1204,2024-02-20 17:42:54,52.236992,4
263,21.049007,1205,2024-02-20 17:42:55,52.1782555,3
166,21.06074,1206,2024-02-20 17:42:55,52.136623,6
263,21.0577075,1207,2024-02-20 17:42:55,52.148356,1
218,21.0183809,1208,2024-02-20 17:42:54,52.1892309,2
218,20.9969437,1209,2024-02-20 17:42:54,52.1833895,4
118,21.015602,1211,2024-02-20 17:42:52,52.219257,4
139,21.103823,1212,2024-02-20 17:42:55,52.128277,62
168,20.995535,1213,2024-02-20 17:42:54,52.190632,4
166,21.023067,1214,2024-02-20 17:42:52,52.228088,011
168,21.048082,1216,2024-02-20 17:42:54,52.207127,7
168,21.001493,1217,2024-02-20 17:42:55,52.194881,5
218,20.993088,1219,2024-02-20 17:42:53,52.183189,5
106,20.967455,1220,2024-02-20 17:42:52,52.228794,6
739,21.018389,1221,2024-02-20 17:42:51,52.106468,013
139,21.0430914,1222,2024-02-20 17:42:52,52.1755995,61
106,21.0194477,1223,2024-02-20 17:42:54,52.2462804,7
263,21.077587,1224,2024-02-20 17:42:55,52.182632,2
221,20.9822375,1400,2024-02-20 17:42:50,52.2629163,02
722,21.266518,1411,2024-02-20 17:42:53,52.205181,01
319,21.196367,1412,2024-02-20 17:42:50,52.208061,09
146,21.204691,1414,2024-02-20 17:42:54,52.159473,4
119,21.00873,1415,2024-02-20 17:42:55,52.207668,2
147,21.092279,1416,2024-02-20 17:42:53,52.224873,2
183,21.162476,1417,2024-02-20 17:42:51,52.254692,4
730,21.1171311,1418,2024-02-20 17:42:54,52.2330326,053
146,21.052542,1419,2024-02-20 17:42:54,52.250355,09
225,21.12932,1420,2024-02-20 17:42:52,52.235584,501
119,21.127686,1421,2024-02-20 17:42:48,52.201271,5
146,21.174688,1422,2024-02-20 17:42:55,52.157951,5
153,21.1772552,1425,2024-02-20 17:42:55,52.2568551,1
